"","asof_date","Estimate_Z","Estimate_NumStats","Estimate_reZ","USARGDP","USARGDP_chng_offset","USARGDP_chng_offset_120mZ","USARGDP_chng_offset_120mma","USARGDP_chng_offset_120msd","Estimate_RGDPTerms","USAAutoSales_1x6mma_120mZ","USAConsConf_1x6mma_120mZ","USAConstExpend_1x6mma_120mZ","USADurGoods_1x6mma_120mZ","USADurGoodsxTrans_1x6mma_120mZ","USAEmpStateManuf_120mZ","USAExistHomeSales_1x6mma_120mZ","USAHomePermits_1x6mma_120mZ","USAHomeStarts_1x6mma_120mZ","USAIndProd_1x6mma_120mZ","USAInitClaims_1x6mma_Inverted_120mZ","USANAHB_120mZ","USANewHomeSales_1x6mma_120mZ","USANewOrdersManufxTrans_1x6mma_120mZ","USAPendHomeSales_1x6mma_120mZ","USAPMIChicago_120mZ","USAPMIManuf_120mZ","USAPMIServices_120mZ","USARetSales_1x6mma_120mZ","USATippEconOpt_120mZ","USATotEmp_1x6mma_120mZ"
"336",1983-12-01,0.647281067702963,21,0.873829441399,7001.5,0.0818075801749272,1.36251458230064,0.0229603086665701,0.0385900858319984,0.0566814618126847,NA,0.584238129597035,0.446312677095064,NA,NA,NA,-0.363435711375127,-0.0121296097533694,-0.325102096683811,1.42385633914572,0.862334059984216,NA,0.111742584381224,NA,NA,1.57527233732469,1.65902110157642,NA,NA,NA,1.15798193344052
"337",1984-01-01,0.739886720418973,21,0.998847072565614,7140.6,0.0755552381632509,1.18709385134546,0.0235730379610869,0.0389277093202144,0.0624558664572682,NA,1.01716179915029,0.692853964993595,NA,NA,NA,-0.520622920558902,-0.270603580182683,0.0171270564674405,1.06066502228445,0.930086800492345,NA,0.353111939860372,NA,NA,1.8735590136975,2.06250050413085,NA,NA,NA,0.922914324273436
"338",1984-02-01,0.72089971227806,21,0.973214611575381,7140.6,0.0755552381632509,1.16700294176051,0.0241857672556037,0.0392527858510931,0.0623871519909269,NA,0.773636023505409,0.611975461195998,NA,NA,NA,0.17744415775813,-0.378837218332853,-0.45493720788258,0.801275343526185,1.08285843530129,NA,2.05563467206811,NA,NA,1.5288933559098,1.03938139382841,NA,NA,NA,0.692572418180763
"339",1984-03-01,0.720451907260681,21,0.97261007480192,7140.6,0.0755552381632509,1.14735923169697,0.0247984965501205,0.0395656246883455,0.0632804217378369,NA,0.26657812411105,0.319683570758752,NA,NA,NA,0.395918843654306,0.593776117820136,0.518807691689792,1.30999305367685,0.625629753819975,NA,0.524510951696313,NA,NA,1.12903308052496,1.12169054012834,NA,NA,NA,1.11934925198703
"340",1984-04-01,0.820344532215835,21,1.10746511849138,7266,0.0551494272190012,0.632515663444199,0.0254645202558257,0.0398483432635535,0.0695951704498821,NA,0.0760537235090161,1.19708279191054,NA,NA,NA,0.50551446523693,1.22328079792219,2.02726711500668,1.02924860787015,-0.429945180519524,NA,0.253834713303925,NA,NA,1.48625148127196,0.864843231886142,NA,NA,NA,0.790358106976185
"341",1984-05-01,0.388263975446566,21,0.524156366852864,7266,0.0551494272190012,0.62031082870738,0.0261305439615308,0.0401179216101042,0.047158607998371,NA,0.395501974225691,1.07205541924048,NA,NA,NA,0.540963598697362,-0.245874947401145,-0.884842656080266,0.85701085922514,-0.165123522510704,NA,-0.637835312750202,NA,NA,1.49775009258116,1.09242436205324,NA,NA,NA,0.748873862631463
"342",1984-06-01,0.433819630811737,21,0.585656501595845,7266,0.0551494272190012,0.608157655875222,0.026796567667236,0.0403746229378359,0.0504422280902603,NA,0.110242808768713,0.613502304076183,NA,NA,NA,0.609204312412565,-0.0439647434076991,-0.0676939035596374,0.797063644403013,-0.184782558815787,NA,-0.67774424801236,NA,NA,1.30994708437702,0.826040779075452,NA,NA,NA,1.48020045961165
"343",1984-07-01,0.299037662477874,21,0.40370084434513,7337.5,0.0357830993669146,0.114322403401025,0.0275210857864738,0.0404636519027833,0.0438562962249148,NA,0.196470413682863,0.894300278923105,NA,NA,NA,0.0936692955524599,-0.293275708904919,-0.439957737703063,0.629458185220663,-0.0525460388898174,NA,-0.944740816769066,NA,NA,1.0503343854896,0.767011888180035,NA,NA,NA,1.38869014247476
"344",1984-08-01,0.15851638570622,21,0.213997120703397,7337.5,0.0357830993669146,0.102064221816261,0.0282456039057116,0.0405394301630202,0.0369209252355543,NA,-0.361746600993653,0.845123026483893,NA,NA,NA,-0.162774270072566,-0.100508922193038,-0.232989806962248,0.418212800251367,-0.244728701012079,NA,-0.400810890125615,NA,NA,0.943675539984636,0.547748801765479,NA,NA,NA,0.492479265642247
"345",1984-09-01,-0.223999113495109,21,-0.302398803218398,7337.5,0.0357830993669146,0.0896019616582871,0.0289701220249494,0.040602031910617,0.0166921161669436,NA,-0.0917392875306748,0.305617429754353,NA,NA,NA,-0.650081044480309,-0.992260243218321,-0.651691158599231,0.357506259835313,-0.578034887408386,NA,-0.393861637076308,NA,NA,0.356532931430236,0.210298951941097,NA,NA,NA,-0.336277563093973
